| Jan ??, 2000 | Russian Illegals Juan Lazaro and Vicky Pelaez surveilled in an unidentified South American country
| Mar 23, 2017 | CNN: "US officials: Info suggests Trump associates may have coordinated with Russians"
| Mar 23, 2017 | Page: "CNN said officials. I assume dems on Gang of 8"
| Mar 24, 2017 | WSJ: "Ex-CIA Director: Mike Flynn and Turkish Officials Discussed Removal of Erdogan Foe From U.S."
| Mar 25, 2017 | The Hill: "Dems question potential Kushner real estate deal with Chinese firm"
| Mar 25, 2017 | Waldman: "Deripaska is in London Monday-Thursday and I might be able to arrange a mtg with him too if you wish."
| Mar 26, 2017 | Waldman: "I have an idea to explore with you."
| Mar 26, 2017 | WaPo: "Trump taps Kushner to lead a SWAT team to fix government with business ideas"
| Mar 26, 2017 | WaPo: "Scott Pelley is pulling no punches on the nightly news — and people are taking notice"
| Mar ??, 2017 | (late March) Adam Waldman visits Assange twice in the Ecuadorian Embassy [see: June 20, 2018 The Guardian]
| Mar 27, 2017 | Natasha Bertrand: "Kushner met with Kislyak & Sergey Gorkov...in Dec. Now the Senate wants to question him"
| Mar 27, 2017 | Farkas: "Trump folks – if they found out HOW we knew...about...Russians...they would try to compromise those sources"
| Mar 27, 2017 | Burr: "Chairman Burr and Vice Chairman Warner Statement on Kushner’s Voluntary Participation in SSCI Investigation"
| Mar 27, 2017 | WhoWhatWhy: "Why FBI can't tell all on Trump, Russia"
| Mar 28, 2017 | Laufman emails Waldman, offers Assange immunity and safe passage [see: Jun 25, 2018 The Hill]
| Mar 29, 2017 | WaPo: "Who is ‘Source D’? The man said to be behind the Trump-Russia dossier’s most salacious claim"
| Mar 29, 2017 | NBC News: "Senate Intel Committee May Interview Ex-UK Spy Christopher Steele"
| Mar 29, 2017 | Reuters: "U.S. State Dept. employee charged in making contacts with Chinese agents"
| Mar 29, 2017 | CNN: "Bank that Kushner met with paid Russian intelligence agent's legal tab"
| Mar 29, 2017 | Newsweek: "Will Julian Assange be sent to the U.S.? Ecuador election results could decide extradition case"
| Mar 30, 2017 | Just Security: "Following the Money: Russia, Cyprus, and the Trump Team’s Odd Business Dealings"
| Mar 30, 2017 | @FoxNews: "TONIGHT: Catherine Herridge speaks to Carter Page"
| Mar 30, 2017 | Carter Page meets with FBI agents under McCabe's command [see: Sep 20, 2018 @carterwpage]
| Mar 30, 2017 | USA vs Buryakov et al: "MEMO ENDORSEMENT as to Evgeny Buryakov" signed by Judge Richard Berman
| Mar 30, 2017 | Steele: SSCI "leaking like a sieve, giving us pause for thought on engagement" 
| Mar 30, 2017 | Waldman: "Chris is concered about the leaks yesterday", "press might have run him off", "huddled w lawyers"
| Mar 30, 2017 | Fox News: "Ex-Trump adviser Carter Page rips 'false narrative' on Russia collusion"
| Mar 31, 2017 | Graham Kates: "Banker who worked as Russian secret agent to be released early, deported"
| Mar 31, 2017 | Warner: "Keep me informed also any news about ur other guy on Manafort"
| Mar 31, 2017 | Waldman: "My other guy, like Steele, very mistrustful of USG", "shut out of the country", "dragged through the mud"
| Mar 31, 2017 | Waldman: "Update re the other other guy, my contact at DOJ has gone silent last 72 hrs. I gave him what he asked for."
| Apr ??, 2017 | Waldman visits Assange three times in the Ecuadorian Embassy in April [see: Jun 20, 2018 The Guardian]
| Apr 01, 2017 | Evgeny Burakov released into ICE custody [see: Apr 5, 2017 CBS News]
| Apr 03, 2017 | KRGMtulsa: "Leftist claims win in Ecuador election, rival cries foul"
| Apr 03, 2017 | Business Insider: "WikiLeaks' Assange taunts Ecuador president candidate who wanted to expel him after election"
| Apr 03, 2017 | James Wolfe and Ali Watkins exchange 124 electronic communications
| Apr 03, 2017 | Ali Watkins: "A Former Trump Adviser Met With A Russian Spy"
| Apr 03, 2017 | WaPo: "Blackwater founder held secret Seychelles meeting to establish Trump-Putin back channel"
| Apr 03, 2017 | Ali Watkins relays Top Secret info about Carter Page to Brian Ross of ABC News
| Apr 04, 2017 | Brian Ross: "Trump campaign adviser Carter Page targeted for recruitment by Russian spies"
| Apr 04, 2017 | NYT: "Russian Spies Tried to Recruit Carter Page Before He Advised Trump"
| Apr 05, 2017 | CBS News: "U.S. deports Russian spy who posed as bank employee"
| Apr 05, 2017 | Daily Beast: "Russian Spy Sent Home After Early Release From U.S. Prison"
| Apr 05, 2017 | FARA filings (submitted June 29, 2018) indicate Waldman has ended represenation of Rusal/Deripaska
| Apr 05, 2017 | Waldman: "[Steele] seems to have cold feet from the leaks. Said he wanted a bi partisan letter"
| Apr 06, 2017 | Imran Awan leaves DWS laptop in Capitol Hill phone booth w/note at 3am [see: Sep 9, 2017, Daily Caller]
| Apr 06, 2017 | NYT: "Kushner Omitted Meeting With Russians on Security Clearance Forms"
| Apr 06, 2017 | Waldman: "WSJ just called me and said they heard from senate intel comm that the committee and Steele are speaking"
| Apr 07, 2017 | The Hacker Newz: "WikiLeaks Reveals CIA's Grasshopper Windows Hacking Framework"
| Apr 07, 2017 | FISA Verified Application on Carter Page (p. 181-272) [signed: Comey, Boente]
| Apr 07, 2017 | FISA Primary Order and Warrant on Carter Page (p. 273-291) [signed: Judge Conway]
| Apr 10, 2017 | Strzok: "just gone to find this phone to tell you...media leak strategy with DOJ" [see: Sep 10, 2018 saraacarter.com]
| Apr 10, 2017 | Waldman: "Steele: would like to get a bipartisan letter from committee" [see: Feb 8, 2018 Fox News]
| Apr 10, 2017 | Waldman: "I convinced [Assange] to make...concessions and am discussing those w DOJ" [see: Feb 8, 2018 Fox News]
| Apr 10, 2017 | Waldman: "[Deripaska] willing to testify...but interested in state of play with Manafort" [see: Feb 8, 2018 Fox News]
| Apr 11, 2017 | WaPo: "FBI obtained FISA warrant to monitor former Trump adviser Carter Page"
| Apr 12, 2017 | Strzok praises Lisa for two hit-pieces on Carter Page, warns two more coming out [see: Sep 10, 2018 saraacarter.com]
| Apr 12, 2017 | @TheLeadCNN: "Report: FBI monitored fmr Trump campaign adviser Carter Page on Russia. @jaketapper interviews him 4pET"
| Apr 12, 2017 | Jake Tapper interviews Carter Page [see: Apr 12, 2017 CNN]
| Apr 12, 2017 | @grantstern: "An EXCLUSIVE Interview with ex-Trump advisor Carter Page about #TrumpRussia"
| Apr 12, 2017 | CNN: "FBI monitored former Trump campaign adviser Carter Page on Russia"
| Apr 12, 2017 | NYT/WaPo calls Papadopoulos, says he's heard there's a FISA out on George
| Apr 12, 2017 | CNN(?) calls Papadopoulos, says they've heard there's a FISA out on George
| Apr 13, 2017 | NYT: "U.S. Drops 'Mother of All Bombs' on ISIS Caves in Afghanistan"
| Apr 13, 2017 | The Guardian: "British spies were first to spot Trump team's links with Russia"
| Apr 13, 2017 | Politico: "House Democrats want Jared Kushner's security clearance suspended"
| Apr 13, 2017 | Carter Page interview with George Stephanopoulos on Good Morning America [see: Apr 13, 2017 ABC]
| Apr 13, 2017 | ABC: "Carter Page: 'Something may have come up in a conversation' with Russians about US sanctions"
| Apr 15, 2017 | CNN: "FBI documents show how Russians try to recruit spies"
| Apr 16, 2017 | Washington Times: "Carter Page rebuts Democrats latching onto 'completely false' Russia dossier"
| Apr 19, 2017 | Waldman: "Maldives" (possibly traveling with Deripaska) [see: Feb 8, 2018 Fox News]
| Apr 20, 2017 | NPR: "Leader Of Justice Department National Security Division On The Way Out" (Mary McCord resigns)
| Apr 25, 2017 | Waldman: "[Steele] fearful of the triumvirate of cost, time suck and reputation" [see: Feb 8, 2018 Fox News]
| Apr 25, 2017 | Politico: "Senate confirms Rosenstein as deputy attorney general"
| Apr 26, 2017 | justice.gov: "Rosenstein was sworn in as the 37th Deputy Attorney General of the United States on April 26, 2017"
| Apr 26, 2017 | Judge Collyer presides as signatory for FISC 99-page opinion in response to DOJ/FBI/NSA 702 access
| Apr 27, 2017 | Daily Mail: "Comey lands in New Zealand for top-secret 'Five Eyes' spying conference between US, UK and allies"
| Apr 27, 2017 | CNN: "Full interview: Carter Page on Russia contact"
| Apr 27, 2017 | CNN: "Carter Page talks to Cuomo (full interview)"
| Apr 28, 2017 | Grassley sends letter to FBI, requesting responses to more questions about the FBI's relationship with Steele
| Apr 30, 2017 | Glenn Simpson and Jonathan Winer attend the OffshoreAlert Conference in Miami
| May ??, 2017 | IG Horowitz seeks unsealing of FBI grand jury subpoenas demanding testimony of Clinton aides, other search warrants
| May 03, 2017 | Comey: "....we may be finding the golden missing e-mails that would change this case." [see: May 3, 2017 WaPo]
| May 03, 2017 | WaPo: "Read the full testimony of FBI Director James Comey in which he discusses Clinton email investigation"
| May 04, 2017 | Adam Lovinger security clearance revoked
| May 04, 2017 | WaPo: "The mystery behind a Flynn associate’s quiet work for the Trump campaign" (Jon Iadonisi)
| May 06, 2017 | Grassley sends letter to FBI seeking records of a reported plan to pay Steele for the dossier
| May 07, 2017 | Carter Page sends letter to Burr/Warner at SSCI, details two felony disclosures concerning his identity
| May 08, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 May 10, 2017)
| May 09, 2017 | NBC News: "Trump Fires FBI Director James Comey Over Email Investigation"
| May 09, 2017 | NYDN: "A timeline of Michael Flynn’s troubles with the Obama and Trump administrations"
| May 09, 2017 | Strzok: "And we need to open the case we've been waiting on now while Andy is acting."
| May 10, 2017 | Page: "We need to lock in [?]. In a formal chargeable way. Soon."
| May 10, 2017 | Ohr: "very concerned about Comey firing, afraid they will be exposed”  [see: Aug 8, 2018 The Hill]
| May 11, 2017 | Peter Kadzik resigns
| May 11, 2017 | Mary McCord resigns [see: April 20, 2017 NPR]
| May 11, 2017 | Adam Waldman texts Senator Warner, says Deripaska is getting questions about Manafort from multiple directions
| May 12, 2017 | Trump: "James Comey better hope that there are no 'tapes' of our conversations before he starts leaking to the press!"
| May 12, 2017 | Steele texts Bruce Ohr, asks to schedule a Whatsapp call, Bruce says tomorrow at 1pm
| May 12, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 May 12, 2017)
| May 13, 2017 | Bruce Ohr: "2pm [phone call on Saturday] your time is good."  [see: Aug 8, 2018 The Hill]
| May 14, 2017 | Carter Page sends mostly-neutral letter to Rod Rosenstein, accuses Comey of leaks
| May 14, 2017 | Peter Smith found dead
| May 15, 2017 | Steele: "consulted my wife and business partner about...Saturday...go ahead with it"  [see: Aug 8, 2018 The Hill]
| May 15, 2017 | FBI interviews Bruce Ohr (Ohr FD-302 May 16, 2017)
| May 15, 2017 | WaPo: "Trump revealed highly classified information to Russian foreign minister and ambassador"
| May 15, 2017 | @markknoller: McMaster: "I was in the room - it didn't happen"
| May 15, 2017 | Waldman: "asks if he wants to discuss Deripaska, or if he respond to HPSCI instead"
| May 16, 2017 | Anonymous source says Trump interviewed Mueller for FBI job [see: Jun 13, 2017 CNN]
| May 16, 2017 | NYT: "Comey Memo Says Trump Asked Him to End Flynn Investigation"
| May 17, 2017 | WaPo: "House Majority Leader to Colleagues in 2016: 'I think Putin pays' Trump"
| May 17, 2017 | Mueller appointed to lead special counsel investigation
| May 18, 2017 | Strzok: "I disagree with the [?] decision, though I know that counts for nothing..." "...needless Rome boondoggle..."
| May 19, 2017 | Daily Caller: "Sweden drops rape investigation against Julian Assange"
| May 19, 2017 | NPR: "Rosenstein On Comey Memo: 'I Wrote It. I Believe It. I Stand By It'"
| Mar 21, 2017 | ABC News: "Russian mafia boss still at large after FBI wiretap at Trump Tower"
| May 21, 2017 | Page: "In business wear. Because Mueller."
| May 21, 2017 | Mifsud attends the Riyadh Forum on Countering Extremism and Fighting Terrorism at Kings College London
| May 22, 2017 | Carter Page sends letter to HPSCI, of little material
| May 22, 2017 | WaPo: "Trump asked intelligence chiefs to push back against FBI collusion probe after Comey revealed its existence"
| May 22, 2017 | NYT: "What Was That Glowing Orb Trump Touched in Saudi Arabia?"
| May 23, 2017 | Carter Page sends follow-up letter to HPSCI, heavily criticizing Brennan
| May 24, 2017 | Strzok says he's staying on the Special Counsel, possibly out of loyalty to Baker and McCabe (seems uneasy, though)
| May 25, 2017 | FT: "FBI investigates Jared Kushner’s Russia ties"
| May 26, 2017 | WaPo: "Russian ambassador told Moscow that Kushner wanted secret communications channel with Kremlin"
| May 26, 2017 | NYT: "Kushner Is Said to Have Discussed a Secret Channel to Talk to Russia"
| May 26, 2017 | The Hill: "GOP leaders launch internal review into leak" (McCarthy, Paul Ryan audio leak)
| May 27, 2017 | @PhilipRucker: "McMaster said 'I would not be concerned” if admin staffer had backchannel comms with Russia.'"
| May 29, 2017 | NYPost: "The real reason red lights were flashing in White House windows"
| May 29, 2017 | Carter Page sends letter to SSCI, complains about Brennan
| May 30, 2017 | Scott Pelley, while covering Syria, hires NYC movers to clear out his desk [see: May 30, 2017 Page Six]
| May 30, 2017 | Page Six: "Scott Pelley out of ‘CBS Evening News’"
| May 31, 2017 | FARA filings indicate Adam Waldman ceases representation of Sergey Lavrov
| May 31, 2017 | Washington Examiner: "House Intelligence Committee: We won't be rushed on witnesses"
| May 31, 2017 | NYT: "CNN Fires Kathy Griffin From New Year’s Eve Broadcast Over Trump Photo"
| May 31, 2017 | WaPo: "CBS makes one thing clear in yanking Scott Pelley: It’s all about the ratings"
| Jun 03, 2017 | Reality Winner arrested [see: Peter Strzok 2017-06-03 text]
| Jun 03, 2017 | Strzok: "Subj in custody, btw. First ML arrest of the Trump era."
| Jun 05, 2017 | LA Times: "Contractor is charged with leaking top-secret document about Russian hacking"
| Jun 05, 2017 | @textifire: "It's unusual to register to vote a month after you die, right? Reg'd in FL 8/22/16" (Poteyev)
| Jun 06, 2017 | MSNBC: "Chris Matthews to Carter Page: Why are you hiding?"
| Jun 06, 2017 | @JMilesKHOU: "Scott Pelley officially exits  @CBSEveningNews on June 16"
| Jun 07, 2017 | @realDonaldTrump: "I will be nominating Christopher A. Wray...to be the new Director of the FBI."
| Jun 07, 2017 | Page: "We're starting obstruction team brief but just come. Sit in on whatever comes next."
| Jun 07, 2017 | CNN: "Comey expected to refute Trump" [retracted, see: Jun 7, 2017 The Hill]
| Jun 07, 2017 | The Hill: "CNN issues correction after Comey statement contradicts reporting"
| Jun 09, 2017 | NYT: "CNN Drops Reza Aslan Over His Vulgar Criticism of Trump"
| Jun 09, 2017 | Strzok: "Just got an Agency coin. With Brennan's signature"
| Jun 10, 2017 | Washington Examiner: "Carter Page: Committees have 'completely blocked' me from testifying"
| Jun 13, 2017 | Strzok: "Need to talk to you before you talk to him...He knows who has them now but not how they got them"
| Jun 13, 2017 | CNN: "Trump interviewed Mueller for FBI job day before he was tapped for special counsel"
| Jun 15, 2017 | WaPo: "Pence hires outside counsel to deal with Russia probe inquiries"
| Jun 15, 2017 | WaPo: "Special counsel is investigating Jared Kushner’s business dealings"
| Jun 15, 2017 | Rosenstein: "...exercise caution before accepting as true any stories attributed to to anonymous 'officials'..."
| Jun 16, 2017 | Politico: "Trump hires another high-profile lawyer as special counsel probe heats up"
| Jun 16, 2017 | CNN: "Robert Mueller expands special counsel office, hires 13 lawyers"
| Jun 16, 2017 | @petermaer: "'This is my last broadcast of the @CBSEveningNews.' 'Goodbye and good luck.' @ScottPelley"
| Jun 20, 2017 | Strzok: "And I deeply sincerely meant it earlier when I said I simply want you happy."
| Jun 20, 2017 | Page: "Then don't join the team."
| Jun 22, 2017 | CNN: "Congress investigating Russian investment fund with ties to Trump officials" [retracted, see: Jun 24 Buzzfeed]
| Jun 22, 2017 | Steele: "any news on reengagement yet?" [see: Aug 8, 2018 The Hill]
| Jun 22, 2017 | SSCI sends letter to Lynch about Renteria memo
| Jun 23, 2017 | @JimMcKayOnAir: "CNN issues apology to Anthony @Scaramucci over Russian Investment Fund story"
| Jun 23, 2017 | Carter Page sends letter to HPSCI, details five pages of suggested cross-exam questions for John Podesta
| Jun 24, 2017 | Buzzfeed: "CNN Deleted A Story Linking Trump And Russia, Then Issued A Retraction After Questions Were Raised"
| Jun 25, 2017 | Page: "Please don't ever text me again."
| Jun 26, 2017 | Buzzfeed: "Three CNN Employees Resign Over Retracted Russia Story"
| Jun 26, 2017 | WaPo: "FBI has questioned Trump campaign adviser Carter Page at length in Russia probe"
| Jun 29, 2017 | FISA Verified Application on Carter Page (p. 292-392) [signed: McCabe, Rosenstein]
| Jun 29, 2017 | FISA Primary Order and Warrant on Carter Page (p. 393-412) [signed: Judge Dearie]
| Jun 29, 2017 | BuzzFeed: "Heat Street Is Folding"
| Jul 05, 2017 | NYPost: "Uncovering the Russia ties of Hillary’s campaign chief"
| Jul 11, 2017 | User "Johnnie Walker" posts Robert Otto emails to cyberguerilla.org
| Jul 16, 2017 | Steele: "they assured me they would stand in the way of our reengagement with the Bureau." [see: Aug 8, 2018 The Hill]
| Jul 18, 2017 | Fox News: "Hillary Clinton sided with Russia on sanctions as Bill made $500G on Moscow speech"
| Jul 20, 2017 | FBI delivers to OIG Sep 2015 - Nov 30, 2016 Strzok/Page texts [see: Dec 13, 2017 Horowitz letter to Grassley, Johnson]
| Jul 21, 2017 | Mother Jones: "Scaramucci May Have a Russia Problem of His Own"
| Jul 21, 2017 | McClatchly: "Ex Trump associates helped fugitive Kazakhs in visa scheme" (Felix Sater, Viktor Khrapunov)
| Jul 21, 2017 | USA Today: "Anthony Scaramucci to be White House communications director"
| Jul 21, 2017 | Papadopoulos receives $10k from Tawil around this time [see: Nov 2, 2018 Bongino podcast]
| Jul 23, 2017 | Papadopoulos gives $10k to lawyer around this time [see: Aug 20, 2018 Daily Caller & Nov 2, 2018 Bongino podcast]
| Jul 24, 2017 | Imran Awan arrested at Dulles International Airport [see: Jul 25, 2017 Daily Caller]
| Jul 25, 2017 | Daily Caller: "Wasserman Schultz's IT aide arrested at airport after wiring 300k to Pakistan from House office"
| Jul 25, 2017 | Daily Mail: "Prosecutors: Some bribes in oligarch case earmarked for US" (Firtash)
| Jul 26, 2017 | Manafort home raided [see: Aug 9, 2017 CNBC]
| Jul 26, 2017 | Chicago Tribune: "Ukrainian oligarch's legal team fires back at Chicago prosecutors' 'innuendo'"
| Jul 26, 2017 | Scaramucci calls Ryan Lizza [see: Jul 27, 2017 New Yorker]
| Jul 27, 2017 | Halper (to Carter Page): "It seems attention has shifted from 'collusion' to 'contretemps' within the White House"
| Jul 27, 2017 | Horowitz informs Mueller of Strzok/Page texts [see: December 13, 2017 Fox News]
| Jul 27, 2017 | New Yorker: "Anthony Scaramucci Called Me to Unload About White House Leakers, Reince Priebus, and Steve Bannon"
| Jul 27, 2017 | Papadopoulos arrested at Dulles International Airport [see: December 4, 2017 Politico]
| Jul 28, 2017 | Papadopoulos appears in court w/o lawyer, cooperates with Mueller, case sealed [see: December 4, 2017 Politico]
| Jul 28, 2017 | CNN: "Priebus latest high-profile departure from Trump admin"
| Jul 28, 2017 | McCabe interviewed by OIG (later determined to have lied about leaking to WSJ)
| Jul 28, 2017 | Augusta Free Press: "Warner, Kaine urge Mattis not to implement transgender military service ban"
| Jul 28, 2017 | Trump: "I am pleased to inform you that I have named General/Secretary John F Kelly as White House Chief of Staff."
| Jul 31, 2017 | CNN: "Anthony Scaramucci out as White House communications director"
| Aug ??, 2017 | Mueller's team interviews Ivan Timofeev (late summer?)
| Aug 01, 2017 | McCabe calls OIC to correct statements he gave to investigators on July 28th
| Aug 02, 2017 | CNN: "Chris Wray sworn in as FBI Director"
| Aug 02, 2017 | Rosenstein issues revised memo to Mueller, outlines scope of investigation [see: April 3, 2018 CBS News]
| Aug 03, 2017 | Dallas News: "GOP campaigns took $7.35 million from oligarch linked to Russia" (Blavatnik)
| Aug 03, 2017 | WaPo: "‘This deal will make me look terrible’: Full transcripts of Trump’s calls with Mexico and Australia"
| Aug 04, 2017 | Heat Street closes [see: June 29, 2017 BuzzFeed]
| Aug 04, 2017 | CNN: "While Trump's away, 'much-needed' White House renovations begin"
| Aug 04, 2017 | Fox News: "Sessions announces hunt for leakers, says cases have 'exploded'"
| Aug 06, 2017 | Steele: “frustrated with...reengagement...new, perishable, operational opportunities"  [see: Aug 8, 2018 The Hill]
| Aug 09, 2017 | CNBC: "FBI raided Paul Manafort's home in July"
| Aug 10, 2017 | FBI delivers to OIG Nov '16-Jul 28, 2017 Strzok/Page texts [see: Dec 13, 2017 Horowitz letter to Grassley, Johnson]
| Aug 14, 2017 | WaPo: "Trump campaign emails show aide’s repeated efforts to set up Russia meetings"
| Aug 14, 2017 | The Guardian: "Diamond tycoon Beny Steinmetz detained in fraud inquiry"
| Aug 16, 2017 | ABC: "Special counsel's Russia probe loses top FBI investigator" (Strzok)
| Aug 16, 2017 | Daily Caller: "Exclusive: Republican congressman meets with WikiLeaks founder Julian Assange"
| Aug 16, 2017 | @billbrowder: "Rohrabacher met with Assange in London to broker his release from criminal liability"
| Aug 17, 2017 | Daily Caller: "Why was this Trump campaign adviser trying to set up meetings with Russians?"
| Aug 22, 2017 | Glenn Simpson testifies in closed-door hearing with SSCI
| Aug 27, 2017 | CNN: "FBI arrests Chinese national connected to malware used in OPM data breach"
| Aug 28, 2017 | NYT: "Trump Associate Boasted That Moscow Business Deal ‘Will Get Donald Elected’"
| Aug 29, 2017 | Bloomberg: "Felix Sater Is a Lean, Mean Trump-Russia Machine"
| Aug 30, 2017 | Emptywheel: "How does inking a luxury residential real estate deal in Moscow get you elected president?"
| Sep 05, 2017 | NYT: "At CNN, Retracted Story Leaves an Elite Reporting Team Bruised"
| Sep 06, 2017 | The Daily Caller: "Police report indicates Wasserman Schultz IT aide planted computer for investigators to find"
| Sep 14, 2017 | Carter Page files defamation lawsuit against OATH, Inc. and Broadcasting Board of Governors in SDNY
| Sep 19, 2017 | CNN: "Exclusive: US government wiretapped former Trump campaign chairman"
| Sep 20, 2017 | Brennan opens a Twitter account
| Sep 21, 2017 | McClatchly: "Trump campaign bodyguard linked to ex-con who’s key in Russia probes" (Gary Uher)
| Sep 29, 2017 | BigLeaguePolitics: "Journalist Who Met With Assange: ‘I Am Willing to Testify Before Any Government Body’"
| Sep 30, 2017 | Chuck Rosenberg resigns
| Oct 02, 2017 | The Atlantic: "Did Manafort Use Trump to Curry Favor With a Putin Ally?"
| Oct 05, 2017 | Papadopoulos pleads guilty to lying to the FBI about the timing of his contacts with Mifsud, case held under seal
| Oct 06, 2017 | BuzzFeed: "US Intelligence Unit Accused Of Illegally Spying On Americans’ Financial Records"
| Oct 10, 2017 | Carter Page sends letters to Special Counsel and HPSCI/SSCI, denies charges, demands open-session hearings
| Oct 10, 2017 | Daily Caller: "Rohrabacher, Rand Paul met to discuss Assange giving up WikiLeaks source to US Government"
| Oct 16, 2017 | James Wolfe informs Marianna Sotomayor of NBC News that Carter Page was served with a subpoena to appear before SSCI
| Oct 17, 2017 | Sotomayor requests Carter Page's # from Wolfe, publishes article about Carter Page, later calls Carter Page for comment
| Oct 17, 2017 | NBC News: "Putin Rival Ties Kushner Meeting to Kremlin Bankers"
| Oct 18, 2017 | Sours Edwards saves Special Activity Reports on a flash drive (Manafort files?) [see: Oct 25, 2018 WSJ]
| Oct 19, 2017 | BuzzFeed: "Senate Investigators Want To Meet With A Trump Adviser Who Reportedly Tried To Set Up A Meeting With Russia"
| Oct 20, 2017 | Daily Caller: "Hillary Clinton's Russian Ghost Stories"
| Oct 22, 2017 | The Hill: "FBI watched, then acted as Russian spy moved closer to Hillary Clinton"
| Oct 24, 2017 | WaPo: "Clinton campaign, DNC paid for research that led to Russia dossier"
| Oct 25, 2017 | CNN: "Exclusive: Mueller's team met with Russia dossier author"
| Oct 26, 2017 | Steele: will "reach out to my other (SC) contacts on this issue tomorrow."
| Oct 27, 2017 | WSJ: "Trump Donor Asked Data Firm If It Could Better Organize Hacked Emails" (Rebecca Mercer)
| Oct 29, 2017 | BuzzFeed: "These 13 Wire Transfers Are A Focus Of The FBI Probe Into Paul Manafort" (Sours Edwards)
| Oct 30, 2017 | Court unseals Papadopoulos case, documents show he sent multiple emails to Trump campaign about Russia
| Oct 30, 2017 | JenniferJJacobs: "George Papadopoulos...pleaded guilty to making false statements to FBI agents."
| Oct 30, 2017 | Steele: "I now understand...what you were talking about on Saturday [28th]." [see: Aug 8, 2018 The Hill]
| Oct 30, 2017 | Press release of Mueller indictment against Manafort, Podesta Group, Mercury LLC
| Oct 30, 2017 | Vanity Fair: "Carter Page gives another 'awesomely stupid' interview"
| Nov 01, 2017 | La Repubblica: Mifsud says Papadopoulos is mistaken, says he never said anything about dirt or emails on Hillary
| Nov 02, 2017 | Carter Page says he was warned of Steele's targeting by Sep 2016, in a CNN interview with Jake Tapper
| Nov 02, 2017 | Carter Page testifies before HPSCI
| Nov 02, 2017 | The Atlantic: "What Carter Page's Testimony Revealed"
| Nov 08, 2017 | Glenn Simpson testifies in a closed-door hearing before HPSCI
| Nov 07, 2017 | Pompeo meets William Binney, who cast doubt on U.S. intel assessment that Russia was behind email hacks
| Nov 10, 2017 | WSJ: "Data Firm’s WikiLeaks Outreach Came as It Joined Trump Campaign"
| Nov 11, 2017 | Steele: "wondering if there was any response to the questions I raised last week?" [see: Aug 8, 2018 The Hill]
| Nov 13, 2017 | Huber appointed
| Nov 14, 2017 | Glenn Simpson testifies in a closed-door hearing before HPSCI
| Nov 14, 2017 | Russian lobbyist who attended Trump Tower meeting, Rinat Akhmetshin, testifies before Senate Judiciary Committee
| Nov 15, 2017 | The Guardian: "Christopher Steele believes his dossier on Trump-Russia is 70-90% accurate"
| Nov 18, 2017 | Steele: "we remain in the dark as to what has been briefed to Congress about us" [see: Aug 8, 2018 The Hill]
| Nov ??, 2017 | (late November) Adam Waldman visits Assange twice in the Ecuadorian Embassy [see: June 20, 2018 The Guardian]
| Nov 27, 2017 | Steele: "catch-up Whatsapp call this eve GMT...with you?" [last Steele/Ohr text] [see: Aug 8, 2018 The Hill]
| Nov 29, 2017 | OIG questions McCabe, McCabe clarifies further the statements he gave to OIG from August 1, 2018
| Nov 30, 2017 | Flynn accepts plea deal
| Dec 01, 2017 | ABC: "Flynn promised full cooperation to Mueller and says candidate Trump directed him to make contact with Russians."
| Dec 01, 2017 | Judge Contreras accepts Flynn's guilty plea
| Dec 02, 2017 | Mueller's team interviews WH Counsel Don McGahn
| Dec 02, 2017 | Incriminating text messages from Peter Strzok and Lisa Page is published in WaPo and NYT
| Dec 02, 2017 | Inspector General issues statement in response to inquiries
| Dec 04, 2017 | Politico: "George Papadopoulos' late night with the FBI"
| Dec 04, 2017 | CNN: Strzok changed wording of Clinton investigation to avoid criminal charges
| Dec 04, 2017 | ABC: "Paul Manafort was working with a Russian intelligence-connected official as recently as last week"
| Dec 05, 2017 | Bloomberg: "Mueller Subpoenaed Deutsche Bank Records on Trump Several Weeks Ago" (Fake)
| Dec 06, 2017 | Bruce Ohr stripped of Associate Deputy Attorney General title
| Dec 06, 2017 | DJT, Jr. testifies to HPSCI (Schiff accused of leaking)
| Dec 06, 2017 | CNN: "Trump recognizes Jerusalem as Israel's capital"
| Dec 07, 2017 | Washington Times: "Ethics Committee clears Nunes of revealing classified material to White House"
| Dec 07, 2017 | Horowitz sends letter to Senators Grassley and Johnson in response to questions about Strzok/Page texts
| Dec 07, 2017 | Fox News: "Top DOJ official demoted amid probe of contacts with Trump dossier firm"
| Dec 07, 2017 | Judge Contreras recused from Flynn case [see: March 13, 2018 WaPo]
| Dec 08, 2017 | CNN's Manu Raju: "Email pointed Trump campaign to WikiLeaks documents" (Fake)
| Dec 11, 2017 | Fox News: "Wife of demoted DOJ official worked for firm behind anti-Trump dossier"
| Dec 12, 2017 | NYT: "Donald Trump Jr. Demands Leak Inquiry of House Intelligence Committee"
| Dec 13, 2017 | Fox News: "Watchdog reveals how ex-Mueller agents' anti-Trump texts came to light"
| Dec 15, 2017 | James Wolfe lies to FBI in interview
| Dec 17, 2017 | Politico: "The secret backstory of how Obama let Hezbollah off the hook"
| Dec 19, 2017 | El Pais: "Several hooded men enter the office of ex-judge Baltasar Garzón" (Assange legal defense director)
